,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuadro No. 3.1.14
Defunciones en el año (t), por grupos de edad, según región y provincia  de residencia habitual de la persona fallecida y sexo
Año 2021 (p**)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regiones, provincias y sexo",,Total,Menos de 1 mes,1- 11 meses,1 año,2  años,3 años,4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65 - 69 años,70 - 74 años,75 - 79 años,80 - 84 años,85 y más años,Sin información,,INDICE
,Hombre, 59 , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1 , 3 , 2 , 1 , 4 , 2 , 3 , 2 , 7 , 9 , 6 , 5 , 13 ,  ,,
,Mujer, 23 , 1 , 1 ,  ,  ,  ,  ,  ,  ,  ,  , 2 ,  , 2 , 1 ,  ,  , 1 , 2 , 2 , 4 , 3 , 1 , 3 ,  ,,
Exterior,Total, 29 ,  ,  ,  ,  ,  ,  , 1 ,  , 3 , 1 , 1 , 4 , 1 ,  , 2 , 3 , 1 , 5 , 2 , 1 , 3 , 1 ,  ,  ,,
,Hombre, 19 ,  ,  ,  ,  ,  ,  ,  ,  , 3 , 1 , 1 , 3 , 1 ,  , 1 , 2 , 1 , 4 ,  , 1 , 1 ,  ,  ,  ,,
,Mujer, 10 ,  ,  ,  ,  ,  ,  , 1 ,  ,  ,  ,  , 1 ,  ,  , 1 , 1 ,  , 1 , 2 ,  , 2 , 1 ,  ,  ,,
"1/ Defunciones registradas (t): corresponden a las defunciones ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre de 2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Registro Estadístico de Defunciones Generales 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
