Tipo Muert.;Provincia;Cantón;Area del Hecho;Lugar;Tipo Lugar;Fecha Infracción;Hora Infracción;Arma;Tipo Arma;Probable Causa M.;Edad;Med. Edad;Sexo;Etnia;Estado Civil;Nacionalidad;Anio_i;Mes_i;Cod_prov;cod_cantón
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;CASA/VILLA;PRIVADO;8/1/2023;19:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;24;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;CASA/VILLA;PRIVADO;8/1/2023;19:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;27;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
HOMICIDIO;PICHINCHA;QUITO;URBANO;CANCHAS DE USO MULTIPLE;PUBLICO;9/1/2023;2:00;ARMA BLANCA;OTRO;HERIDA POR ARMA BLANCA;0;A;HOMBRE;AFRO;NO DETERMINADO;ECUADOR;2023;enero;17;1604
HOMICIDIO;PICHINCHA;QUITO;URBANO;VIA PUBLICA;PUBLICO;9/1/2023;14:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;33;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;17;1604
ASESINATO;CAÑAR;LA TRONCAL;RURAL;VIA PUBLICA;PUBLICO;9/1/2023;6:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;39;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;3;304
ASESINATO;LOS RIOS;PUEBLO VIEJO;URBANO;VIA PUBLICA;PUBLICO;9/1/2023;17:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;22;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;12;1204
HOMICIDIO;LOS RIOS;QUEVEDO;URBANO;VIA PUBLICA;PUBLICO;9/1/2023;14:50;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;51;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;12;1205
ASESINATO;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;URBANO;VIA PUBLICA;PUBLICO;9/1/2023;20:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;23;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;23;9003
ASESINATO;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;URBANO;CASA/VILLA;PRIVADO;9/1/2023;23:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;24;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;23;9003
ASESINATO;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;URBANO;GASOLINERAS;PRIVADO;9/1/2023;14:00;OTROS;OTRO;HERIDAS CONTUSAS;42;A;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;enero;23;9003
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;9/1/2023;3:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;25;A;HOMBRE;AFRO;NO DETERMINADO;NO DETERMINADO;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;CASA/VILLA;PRIVADO;9/1/2023;15:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;27;A;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;enero;9;901
ASESINATO;EL ORO;HUAQUILLAS;URBANO;VIA PUBLICA;PUBLICO;9/1/2023;12:15;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;18;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;7;505
